idx,  act, range, tcyc, nspots, fmax
470, 6.22, 29.30, 10.0,  1719, 3.95e-02
471, 4.06, 32.96, 27.5,     3, 2.32e-04
472, 0.50, 55.85, 39.1,    28, 1.91e-04
473, 2.31, 27.47,  2.0,   608, 8.81e-03
474, 1.16, 42.69,  4.1,    57, 2.01e-03
475, 0.23, 19.11,  6.8,    38, 8.31e-04
476, 0.22, 19.92,  2.3,    31, 9.66e-04
477, 1.03, 42.66, 20.3,     2, 2.86e-06
478, 0.37, 19.95,  3.5,   106, 3.34e-03
479, 7.11, 25.54, 11.0,   230, 2.83e-03
480, 0.22, 14.82,  2.8,    61, 2.57e-03
481, 0.24, 48.07, 15.3,     0,
482, 4.14, 12.63,  6.8,    99, 2.24e-03
483, 8.56, 48.69, 31.9,   509, 1.07e-02
484, 0.21, 13.91,  5.2,    10, 3.49e-04
485, 0.14, 45.89, 15.0,     2, 3.16e-05
486, 2.52, 60.67, 35.6,     9, 2.45e-04
487, 1.88, 46.16,  1.5,   479, 1.51e-02
488, 1.39, 28.64, 14.4,    12, 8.19e-04
489, 4.13, 40.51,  1.2,   802, 1.44e-02
490, 0.65,  5.67,  8.6,    24, 3.26e-04
491, 2.12, 51.42,  1.4,   385, 1.29e-02
492, 4.31, 42.60, 21.7,   642, 1.91e-02
493, 0.99, 10.91, 30.6,   314, 8.24e-03
494, 0.15, 13.61,  1.2,    24, 3.30e-04
495, 0.13,  5.98, 16.7,     0,
496, 0.13,  6.06,  5.3,    30, 6.81e-04
497, 6.63, 20.11, 12.0,    48, 3.57e-03
498, 2.66, 36.98, 10.1,    32, 1.01e-03
499, 1.84, 56.97,  3.0,   147, 3.19e-03
